Tên Sản Phẩm,Giá (VNĐ),Đã Bán,Tên Shop,Shop ID,Link Sản Phẩm
LENOVO THINKPAD X260 I5 6300U/ RAM 8GB/ SSD 256G/ 12.5 inch,3650000,4,Shop_ID_127628226,127628226,https://shopee.vn/LENOVO-THINKPAD-X260-I5-6300U-RAM-8GB-SSD-256G-125-inch-i.127628226.25525180423
Laptop mini dell 7280 core i5 core i7 ram 8G màn 12.5 inch mỏng nhẹ bền đẹp.,4940000,1,Shop_ID_10859239,10859239,https://shopee.vn/Laptop-mini-dell-7280-core-i5-core-i7-ram-8G-mn-125-inch-mng-nh-bn-p-i.10859239.23712812655
"[Chỉ GH tận nơi] Laptop HP 250 G10 i5-1334U/16GB/512GB/15.6"" FHD/Win11 (B3WA8AT)",16570000,23,Shop_ID_1431261217,1431261217,https://shopee.vn/Ch-GH-tn-ni-Laptop-HP-250-G10-i5-1334U16GB512GB156-FHDWin11-B3WA8AT-i.1431261217.55751109615
"ACER Predator Helios Neo 16 - Core i7-13700HX RAM 16G SSD 512G RTX 4060 8GB  Màn 16"" 2K 165Hz",24300000,27,Shop_ID_1326205420,1326205420,https://shopee.vn/ACER-Predator-Helios-Neo-16---Core-i7-13700HX-RAM-16G-SSD-512G-RTX-4060-8GB--Mn-16-2K-165Hz-i.1326205420.27766423223
"Laptop Lenovo Gaming LOQ E 15IAX9E i5 12450HX/16GB/512GB/15.6""FHD/RTX 3050 6GB/Win 11",22490000,163,Shop_ID_1431261217,1431261217,https://shopee.vn/Laptop-Lenovo-Gaming-LOQ-E-15IAX9E-i5-12450HX16GB512GB156FHDRTX-3050-6GBWin-11-i.1431261217.43405771246
Laptop Asus GL552 Gaming core i7 vỏ nhôm cao cấp - Chính hãng,5900000,0,Shop_ID_96461069,96461069,https://shopee.vn/Laptop-Asus-GL552-Gaming-core-i7-v-nhm-cao-cp---Chnh-hng-i.96461069.7249366953
HP PROBOOK 450 G5 CORE I5 7200U RAM 8G SSD 256G 15.6INCH GIÁ RẺ,4990000,4,Shop_ID_79999990,79999990,https://shopee.vn/HP-PROBOOK-450-G5-CORE-I5-7200U-RAM-8G-SSD-256G-156INCH-GI-R-i.79999990.24120630833
"Laptop văn phòng HP 430 G5/G6 i5-8250u, ram 8GB/16GB, SSD 256GB/512GB, màn 13,3"" HD nhỏ gọn",5000000,19,Shop_ID_203002179,203002179,https://shopee.vn/Laptop-vn-phng-HP-430-G5G6-i5-8250u-ram-8GB16GB-SSD-256GB512GB-mn-133-HD-nh-gn-i.203002179.29740480817
Laptop Dell Inspiron 14 5430 | Intel® Core™ i5-1335U|DDR5 8GB | SSD NVME 256G |15.6 inh FHD,9800000,0,Shop_ID_1001261387,1001261387,https://shopee.vn/Laptop-Dell-Inspiron-14-5430--Intel-Core-i5-1335UDDR5-8GB--SSD-NVME-256G-156-inh-FHD-i.1001261387.46501198888
"Laptop Cũ Rẻ Các Hãng Ram 8Gb/SSD Core i5 - i7: Dell, HP, Asus,.. Máy Đẹp Đủ Sạc,..Dùng Full Chức Năng",2000000,5,Shop_ID_52087365,52087365,https://shopee.vn/Laptop-C-R-Cc-Hng-Ram-8GbSSD-Core-i5---i7-Dell-HP-Asus-My-p--ScDng-Full-Chc-Nng-i.52087365.19384199766
[HCM] Laptop Cũ Asus X550LD Core I5-4210U/ Ram 8GB/ SSD 240GB/ VGA Nvidia GeForce 820M/ LCD 15.6'' inch.,3900000,0,Shop_ID_1507141073,1507141073,https://shopee.vn/HCM-Laptop-C-Asus-X550LD-Core-I5-4210U-Ram-8GB-SSD-240GB-VGA-Nvidia-GeForce-820M-LCD-156-inch-i.1507141073.26685801315
